,channel_id,name,ranking,userlocal-url,youtube-url
44,UCXzcu59Cbu-hkpNNXnNiKDg,マスター TV,45,https://virtual-youtuber.userlocal.jp/user/sihuto100_1e2b72,https://www.youtube.com/channel/UCXzcu59Cbu-hkpNNXnNiKDg
45,UCdn5BQ06XqgXoAxIhbqw5Rg,白上フブキ,46,https://virtual-youtuber.userlocal.jp/user/F5E89D62D0351960_af58bc,https://www.youtube.com/channel/UCdn5BQ06XqgXoAxIhbqw5Rg
46,UCiGcHHHT3kBB1IGOrv7f3qQ,金剛いろは,47,https://virtual-youtuber.userlocal.jp/user/1DBC5193FCBBB92D_fd173a,https://www.youtube.com/channel/UCiGcHHHT3kBB1IGOrv7f3qQ
47,UCLO9QDxVL4bnvRRsz6K4bsQ,勇気ちひろ,48,https://virtual-youtuber.userlocal.jp/user/BE304744A7096044_8819c0,https://www.youtube.com/channel/UCLO9QDxVL4bnvRRsz6K4bsQ
48,UCg8TPE5nLLOqlNnBivmQwww,キミノ ミヤ(MIYA KIMINO),49,https://virtual-youtuber.userlocal.jp/user/C870D1E8A0379754_58fe16,https://www.youtube.com/channel/UCg8TPE5nLLOqlNnBivmQwww
49,UCyZoDBhW8cLrzZ-dqKdQqEg,マヤ・プトゥリ,50,https://virtual-youtuber.userlocal.jp/user/2A55B78115DB6F05_9d79ea,https://www.youtube.com/channel/UCyZoDBhW8cLrzZ-dqKdQqEg
50,UCmUjjW5zF1MMOhYUwwwQv9Q,宇志海いちご,51,https://virtual-youtuber.userlocal.jp/user/CBFAC77ECF2C6C40_7f791b,https://www.youtube.com/channel/UCmUjjW5zF1MMOhYUwwwQv9Q
51,UC1EB8moGYdkoZQfWHjh7Ivw,甲賀流忍者 ぽんぽこ,52,https://virtual-youtuber.userlocal.jp/user/D5FBC54C95BC6B05_a0c945,https://www.youtube.com/channel/UC1EB8moGYdkoZQfWHjh7Ivw
52,UCzrw4K7D9Ti3FP8WMTVPImg,ウェザーロイドAiri,53,https://virtual-youtuber.userlocal.jp/user/0B1BD65AB3111B22_777a96,https://www.youtube.com/channel/UCzrw4K7D9Ti3FP8WMTVPImg
53,UC5nfcGkOAm3JwfPvJvzplHg,北上双葉,54,https://virtual-youtuber.userlocal.jp/user/1BE65EF40BDE9CE6_3f27c0,https://www.youtube.com/channel/UC5nfcGkOAm3JwfPvJvzplHg
54,UCSgheR9xOIcQjlkeXqIofLQ,ディープウェブ・アンダーグラウンド,55,https://virtual-youtuber.userlocal.jp/user/2B7BAB6362692610_eea51e,https://www.youtube.com/channel/UCSgheR9xOIcQjlkeXqIofLQ
55,UC1zFJrfEKvCixhsjNSb1toQ,シスター・クレア,56,https://virtual-youtuber.userlocal.jp/user/1B7358C220332787_6a0fe3,https://www.youtube.com/channel/UC1zFJrfEKvCixhsjNSb1toQ
56,UC0g1AE0DOjBYnLhkgoRWN1w,本間ひまわり,57,https://virtual-youtuber.userlocal.jp/user/EC502FA8A2F56328_2c62d1,https://www.youtube.com/channel/UC0g1AE0DOjBYnLhkgoRWN1w
57,UCtpB6Bvhs1Um93ziEDACQ8g,森中花咲,58,https://virtual-youtuber.userlocal.jp/user/98AEAAC18AD51B8D_14cffb,https://www.youtube.com/channel/UCtpB6Bvhs1Um93ziEDACQ8g
58,UCcEXdLbhQtqzxT6wc0ye2ag,叶(かなえ),59,https://virtual-youtuber.userlocal.jp/user/F767E03F65289219_3d763f,https://www.youtube.com/channel/UCcEXdLbhQtqzxT6wc0ye2ag
59,UCXLqxLD5qCsWC1iEdE-rsWg,イヴ・ヴァルレーヌ,60,https://virtual-youtuber.userlocal.jp/user/E3FAFD2D8BE2BEED_95e8f1,https://www.youtube.com/channel/UCXLqxLD5qCsWC1iEdE-rsWg
60,UCKg3SYrZl5zskG5fkexUPCQ,セア(海外),61,https://virtual-youtuber.userlocal.jp/user/607132A6F13B3BBD_6763a6,https://www.youtube.com/channel/UCKg3SYrZl5zskG5fkexUPCQ
61,UCxMai3WANwU2ye8vBZ833MA,にじさんじ,62,https://virtual-youtuber.userlocal.jp/user/FD024E6AA3302E34_98aebe,https://www.youtube.com/channel/UCxMai3WANwU2ye8vBZ833MA
62,UCOefINa2_BmpuX4BbHjdk9A,夜桜たま,63,https://virtual-youtuber.userlocal.jp/user/22A3D45804D5AC20_ce216d,https://www.youtube.com/channel/UCOefINa2_BmpuX4BbHjdk9A
63,UCDqI2jOz0weumE8s7paEk6g,ロボ子さん,64,https://virtual-youtuber.userlocal.jp/user/7D3DC00F90D5BD0E_3fb678,https://www.youtube.com/channel/UCDqI2jOz0weumE8s7paEk6g
64,UCt9qik4Z-_J-rj3bKKQCeHg,鈴谷アキ,65,https://virtual-youtuber.userlocal.jp/user/84D8732C2F04F33D_f44f27,https://www.youtube.com/channel/UCt9qik4Z-_J-rj3bKKQCeHg
65,,エイレーン,66,https://virtual-youtuber.userlocal.jp/user/70240307FA89ED77_f81688,
66,UCp77Qho-YHhnklRr-DkjiOw,虹河ラキ,67,https://virtual-youtuber.userlocal.jp/user/C3AD348EF2E0B6FC_b100c4,https://www.youtube.com/channel/UCp77Qho-YHhnklRr-DkjiOw
67,UC0Owc36U9lOyi9Gx9Ic-4qg,因幡はねる,68,https://virtual-youtuber.userlocal.jp/user/150F5677BFF75876_d53bec,https://www.youtube.com/channel/UC0Owc36U9lOyi9Gx9Ic-4qg
68,UCP9ZgeIJ3Ri9En69R0kJc9Q,花京院ちえり,69,https://virtual-youtuber.userlocal.jp/user/84AF0CEC6343ABBF_95d040,https://www.youtube.com/channel/UCP9ZgeIJ3Ri9En69R0kJc9Q
69,UCfxUC1e8kStZYNNc7xQuxag,すーぱーそに子,70,https://virtual-youtuber.userlocal.jp/user/1A6B24B1B97BE8B9_30d61a,https://www.youtube.com/channel/UCfxUC1e8kStZYNNc7xQuxag
70,UCz0lin3ZsOtmr2yuTN2MDQg,ベイレーン,71,https://virtual-youtuber.userlocal.jp/user/677FF8CF0592DE31_610a92,https://www.youtube.com/channel/UCz0lin3ZsOtmr2yuTN2MDQg
71,UCeK9HFcRZoTrvqcUCtccMoQ,渋谷ハジメ,72,https://virtual-youtuber.userlocal.jp/user/2595D55AF477E061_a60166,https://www.youtube.com/channel/UCeK9HFcRZoTrvqcUCtccMoQ
72,UChT4jRjRUhFSrDT6fjzsHFw,キャサリン・ワード,73,https://virtual-youtuber.userlocal.jp/user/454939A2618AACF0_e7e26d,https://www.youtube.com/channel/UChT4jRjRUhFSrDT6fjzsHFw
